'Date';'DAX';'S+ACY-P 500'
'2014+AC0-04+AC0-03';9628.820312;1865.089966
'2014+AC0-04+AC0-02';9623.360352;1888.77002
'2014+AC0-04+AC0-01';9603.709961;1890.900024
'2014+AC0-03+AC0-31';9555.910156;1885.52002
'2014+AC0-03+AC0-28';9587.19043;1872.339966
'2014+AC0-03+AC0-27';9451.209961;1857.619995
'2014+AC0-03+AC0-26';9448.580078;1849.040039
'2014+AC0-03+AC0-25';9338.400391;1852.560059
'2014+AC0-03+AC0-24';9188.769531;1865.619995
'2014+AC0-03+AC0-21';9342.94043;1857.439941
'2014+AC0-03+AC0-20';9296.120117;1866.52002
'2014+AC0-03+AC0-19';9277.049805;1872.01001
'2014+AC0-03+AC0-18';9242.549805;1860.77002
'2014+AC0-03+AC0-17';9180.889648;1872.25
'2014+AC0-03+AC0-14';9056.410156;1858.829956
'2014+AC0-03+AC0-13';9017.790039;1841.130005
'2014+AC0-03+AC0-12';9188.69043;1846.339966
'2014+AC0-03+AC0-11';9307.790039;1868.199951
'2014+AC0-03+AC0-10';9265.5;1867.630005
'2014+AC0-03+AC0-07';9350.75;1877.170044
'2014+AC0-03+AC0-06';9542.870117;1878.040039
'2014+AC0-03+AC0-05';9542.019531;1877.030029
'2014+AC0-03+AC0-04';9589.150391;1873.810059
'2014+AC0-03+AC0-03';9358.889648;1873.910034
'2014+AC0-02+AC0-28';9692.080078;1845.72998
'2014+AC0-02+AC0-27';9588.330078;1859.449951
'2014+AC0-02+AC0-26';9661.730469;1854.290039
'2014+AC0-02+AC0-25';9699.349609;1845.160034
'2014+AC0-02+AC0-24';9708.94043;1845.119995
'2014+AC0-02+AC0-21';9656.950195;1847.609985
'2014+AC0-02+AC0-20';9618.849609;1836.25
'2014+AC0-02+AC0-19';9660.049805;1839.780029
'2014+AC0-02+AC0-18';9659.780273;1828.75
'2014+AC0-02+AC0-17';9656.759766;1840.76001
'2014+AC0-02+AC0-14';9662.400391;1838.630005
'2014+AC0-02+AC0-13';9596.769531;1829.829956
'2014+AC0-02+AC0-12';9540;1819.26001
'2014+AC0-02+AC0-11';9478.769531;1819.75
'2014+AC0-02+AC0-10';9289.860352;1799.839966
'2014+AC0-02+AC0-07';9301.919922;1797.02002
'2014+AC0-02+AC0-06';9256.580078;1773.430054
'2014+AC0-02+AC0-05';9116.320312;1751.640015
'2014+AC0-02+AC0-04';9127.910156;1755.199951
'2014+AC0-02+AC0-03';9186.519531;1741.890015
'2014+AC0-01+AC0-31';9306.480469;1782.589966
'2014+AC0-01+AC0-30';9373.480469;1794.189941
'2014+AC0-01+AC0-29';9336.730469;1774.199951
'2014+AC0-01+AC0-28';9406.910156;1792.5
'2014+AC0-01+AC0-27';9349.219727;1781.560059
'2014+AC0-01+AC0-24';9392.019531;1790.290039
'2014+AC0-01+AC0-23';9631.040039;1828.459961
'2014+AC0-01+AC0-22';9720.110352;1844.859985
'2014+AC0-01+AC0-21';9730.120117;1843.800049
'2014+AC0-01+AC0-20';9715.900391;1838.699951
'2014+AC0-01+AC0-17';9742.959961;1845.890015
'2014+AC0-01+AC0-16';9717.709961;1848.380005
'2014+AC0-01+AC0-15';9733.80957;1838.880005
'2014+AC0-01+AC0-14';9540.509766;1819.199951
'2014+AC0-01+AC0-13';9510.169922;1842.369995
'2014+AC0-01+AC0-10';9473.240234;1838.130005
'2014+AC0-01+AC0-09';9421.610352;1837.48999
'2014+AC0-01+AC0-08';9497.839844;1837.880005
'2014+AC0-01+AC0-07';9506.200195;1826.77002
'2014+AC0-01+AC0-06';9428;1831.369995
'2014+AC0-01+AC0-03';9435.150391;1831.97998
'2014+AC0-01+AC0-02';9400.040039;1848.359985
'2013+AC0-12+AC0-30';9552.160156;1841.069946
